review_rank,pin_quality_category,priority_score,manual_review_status,promotion_allowed,title,display_location,parent_park,borough,proposed_lat,proposed_lng,geocoder_source,geocoder_confidence,confidence_reason,google_maps_search_url,google_maps_pin_url,approval_decision_reason,manual_reviewer,manual_reviewed_at_utc
84,no_polygon_match,8,approved,False,Dance Fitness,Dance Room in Shirley Chisholm Recreation Center,Shirley Chisholm Recreation Center,Bk,40.63811,-73.94706,nyc_geosearch_planninglabs,medium,"Pin-quality correction: recreation center facility alias for 'Shirley Chisholm Recreation Center' (3105 Farragut Place, Brooklyn, NY). For manual review only.",https://www.google.com/maps/search/?api=1&query=Dance+Room+in+Shirley+Chisholm+Recreation+Center%2C+Bk%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.63811%2C-73.94706,Supplemental approved; NYC coordinates from Parks feed; pin verified,Howard Weiss,2026-07-17T20:00:56.361721+00:00
796,no_polygon_match,8,approved,False,Total Body Fitness,Multipurpose Room in Shirley Chisholm Recreation Center,Shirley Chisholm Recreation Center,Bk,40.63811,-73.94706,nyc_geosearch_planninglabs,medium,"Pin-quality correction: recreation center facility alias for 'Shirley Chisholm Recreation Center' (3105 Farragut Place, Brooklyn, NY). For manual review only.",https://www.google.com/maps/search/?api=1&query=Multipurpose+Room+in+Shirley+Chisholm+Recreation+Center%2C+Bk%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.63811%2C-73.94706,Supplemental approved; NYC coordinates from Parks feed; pin verified,Howard Weiss,2026-07-17T20:00:56.361721+00:00
816,no_polygon_match,8,approved,False,Dance Fitness,Dance Room in Shirley Chisholm Recreation Center,Shirley Chisholm Recreation Center,Bk,40.63811,-73.94706,nyc_geosearch_planninglabs,medium,"Pin-quality correction: recreation center facility alias for 'Shirley Chisholm Recreation Center' (3105 Farragut Place, Brooklyn, NY). For manual review only.",https://www.google.com/maps/search/?api=1&query=Dance+Room+in+Shirley+Chisholm+Recreation+Center%2C+Bk%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.63811%2C-73.94706,Supplemental approved; NYC coordinates from Parks feed; pin verified,Howard Weiss,2026-07-17T20:00:56.361721+00:00
1156,no_polygon_match,8,approved,False,Zumba,Gymnasium (Court) in Al Oerter Recreation Center,Al Oerter Recreation Center,Qn,40.751392,-73.834009,nyc_geosearch_planninglabs,medium,"Pin-quality correction: recreation center facility alias for 'Al Oerter Recreation Center' (131-40 Fowler Avenue, Queens, NY). For manual review only.",https://www.google.com/maps/search/?api=1&query=Gymnasium+%28Court%29+in+Al+Oerter+Recreation+Center%2C+Qn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.751392%2C-73.834009,Supplemental approved; NYC coordinates from Parks feed; pin verified,Howard Weiss,2026-07-17T20:00:56.361721+00:00
2722,no_polygon_match,8,approved,False,Total Body Fitness,Multipurpose Room in Shirley Chisholm Recreation Center,Shirley Chisholm Recreation Center,Bk,40.63811,-73.94706,nyc_geosearch_planninglabs,medium,"Pin-quality correction: recreation center facility alias for 'Shirley Chisholm Recreation Center' (3105 Farragut Place, Brooklyn, NY). For manual review only.",https://www.google.com/maps/search/?api=1&query=Multipurpose+Room+in+Shirley+Chisholm+Recreation+Center%2C+Bk%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.63811%2C-73.94706,Rejected-pass approved; NYC coordinates filled from official reference; pin verified,Howard Weiss,2026-07-17T20:00:56.361721+00:00
2742,no_polygon_match,8,approved,False,Dance Fitness,Dance Room in Shirley Chisholm Recreation Center,Shirley Chisholm Recreation Center,Bk,40.63811,-73.94706,nyc_geosearch_planninglabs,medium,"Pin-quality correction: recreation center facility alias for 'Shirley Chisholm Recreation Center' (3105 Farragut Place, Brooklyn, NY). For manual review only.",https://www.google.com/maps/search/?api=1&query=Dance+Room+in+Shirley+Chisholm+Recreation+Center%2C+Bk%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.63811%2C-73.94706,Rejected-pass approved; NYC coordinates filled from official reference; pin verified,Howard Weiss,2026-07-17T20:00:56.361721+00:00
3386,no_polygon_match,8,approved,False,Total Body Fitness,Multipurpose Room in Shirley Chisholm Recreation Center,Shirley Chisholm Recreation Center,Bk,40.63811,-73.94706,nyc_geosearch_planninglabs,medium,"Pin-quality correction: recreation center facility alias for 'Shirley Chisholm Recreation Center' (3105 Farragut Place, Brooklyn, NY). For manual review only.",https://www.google.com/maps/search/?api=1&query=Multipurpose+Room+in+Shirley+Chisholm+Recreation+Center%2C+Bk%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.63811%2C-73.94706,Rejected-pass approved; NYC coordinates filled from official reference; pin verified,Howard Weiss,2026-07-17T20:00:56.361721+00:00
