review_rank,overlap_key,title,start_date_time,location,borough,lat,lng,has_coordinates,calendar_title_date_match,google_maps_search_url,google_maps_pin_url,manual_review_status,promotion_allowed,manual_review_notes,approval_decision_reason,source_event_id,link
563,lyons pool lap swim|2026-07-20,Lyons Pool: Lap Swim,2026-07-20T7:00 am,Lyons Pool,,40.637199401855,-74.07430267334,True,True,https://www.google.com/maps/search/?api=1&query=Lyons+Pool%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.637199401855%2C-74.07430267334,pending,False,,,2203684,http://www.nycgovparks.org/events/2026/07/20/lyons-pool-lap-swim1
564,lyons pool lap swim|2026-07-21,Lyons Pool: Lap Swim,2026-07-21T7:00 am,Lyons Pool,,40.637199401855,-74.07430267334,True,True,https://www.google.com/maps/search/?api=1&query=Lyons+Pool%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.637199401855%2C-74.07430267334,pending,False,,,2203504,http://www.nycgovparks.org/events/2026/07/21/lyons-pool-lap-swim1
565,lyons pool lap swim|2026-07-22,Lyons Pool: Lap Swim,2026-07-22T7:00 am,Lyons Pool,,40.637199401855,-74.07430267334,True,True,https://www.google.com/maps/search/?api=1&query=Lyons+Pool%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.637199401855%2C-74.07430267334,pending,False,,,2203417,http://www.nycgovparks.org/events/2026/07/22/lyons-pool-lap-swim1
566,lyons pool lap swim|2026-07-23,Lyons Pool: Lap Swim,2026-07-23T7:00 am,Lyons Pool,,40.637199401855,-74.07430267334,True,True,https://www.google.com/maps/search/?api=1&query=Lyons+Pool%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.637199401855%2C-74.07430267334,pending,False,,,2203491,http://www.nycgovparks.org/events/2026/07/23/lyons-pool-lap-swim1
567,lyons pool lap swim|2026-07-24,Lyons Pool: Lap Swim,2026-07-24T7:00 am,Lyons Pool,,40.637199401855,-74.07430267334,True,True,https://www.google.com/maps/search/?api=1&query=Lyons+Pool%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.637199401855%2C-74.07430267334,pending,False,,,2203483,http://www.nycgovparks.org/events/2026/07/24/lyons-pool-lap-swim1
568,lyons pool lap swim|2026-07-27,Lyons Pool: Lap Swim,2026-07-27T7:00 am,Lyons Pool,,40.637199401855,-74.07430267334,True,True,https://www.google.com/maps/search/?api=1&query=Lyons+Pool%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.637199401855%2C-74.07430267334,pending,False,,,2203607,http://www.nycgovparks.org/events/2026/07/27/lyons-pool-lap-swim1
569,martial arts classes at herald square plaza|2026-07-21,Martial Arts Classes at Herald Square Plaza,2026-07-21T6:00 pm,Broadway Boulevard,,40.750099182128906,-73.98750305175781,True,True,https://www.google.com/maps/search/?api=1&query=Broadway+Boulevard%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.750099182128906%2C-73.98750305175781,pending,False,,,2173754,http://www.nycgovparks.org/events/2026/07/21/martial-arts-classes-at-herald-square-plaza
570,martials classes at bryant park|2026-07-23,Martials Classes at Bryant Park,2026-07-23T6:00 pm,Fountain Terrace (in Bryant Park),,40.75410079956055,-73.9844970703125,True,True,https://www.google.com/maps/search/?api=1&query=Fountain+Terrace+%28in+Bryant+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.75410079956055%2C-73.9844970703125,pending,False,,,2173740,http://www.nycgovparks.org/events/2026/07/23/martials-classes-at-bryant-park
571,mat pilates|2026-07-22,Mat Pilates,2026-07-22T5:45 pm,NYC Department of Health and Mental Hygiene- Bedford-Stuyvesant Center,,40.6855549,-73.9411715,True,True,https://www.google.com/maps/search/?api=1&query=NYC+Department+of+Health+and+Mental+Hygiene-+Bedford-Stuyvesant+Center%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.6855549%2C-73.9411715,pending,False,,,2122404,http://www.nycgovparks.org/events/2026/07/22/mat-pilates
572,mccarren pool lap swim|2026-07-20,McCarren Pool: Lap Swim,2026-07-20T7:00 am,McCarren Park Pool (in McCarren Park),,40.7201557,-73.9517404,True,True,https://www.google.com/maps/search/?api=1&query=McCarren+Park+Pool+%28in+McCarren+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.7201557%2C-73.9517404,pending,False,,,2203724,http://www.nycgovparks.org/events/2026/07/20/mccarren-pool-lap-swim1
573,mccarren pool lap swim|2026-07-21,McCarren Pool: Lap Swim,2026-07-21T7:00 am,McCarren Park Pool (in McCarren Park),,40.7201557,-73.9517404,True,True,https://www.google.com/maps/search/?api=1&query=McCarren+Park+Pool+%28in+McCarren+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.7201557%2C-73.9517404,pending,False,,,2203469,http://www.nycgovparks.org/events/2026/07/21/mccarren-pool-lap-swim1
574,mccarren pool lap swim|2026-07-22,McCarren Pool: Lap Swim,2026-07-22T7:00 am,McCarren Park Pool (in McCarren Park),,40.7201557,-73.9517404,True,True,https://www.google.com/maps/search/?api=1&query=McCarren+Park+Pool+%28in+McCarren+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.7201557%2C-73.9517404,pending,False,,,2203466,http://www.nycgovparks.org/events/2026/07/22/mccarren-pool-lap-swim1
575,mccarren pool lap swim|2026-07-23,McCarren Pool: Lap Swim,2026-07-23T7:00 am,McCarren Park Pool (in McCarren Park),,40.7201557,-73.9517404,True,True,https://www.google.com/maps/search/?api=1&query=McCarren+Park+Pool+%28in+McCarren+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.7201557%2C-73.9517404,pending,False,,,2203632,http://www.nycgovparks.org/events/2026/07/23/mccarren-pool-lap-swim1
576,mccarren pool lap swim|2026-07-24,McCarren Pool: Lap Swim,2026-07-24T7:00 am,McCarren Park Pool (in McCarren Park),,40.7201557,-73.9517404,True,True,https://www.google.com/maps/search/?api=1&query=McCarren+Park+Pool+%28in+McCarren+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.7201557%2C-73.9517404,pending,False,,,2203472,http://www.nycgovparks.org/events/2026/07/24/mccarren-pool-lap-swim1
577,mccarren pool lap swim|2026-07-27,McCarren Pool: Lap Swim,2026-07-27T7:00 am,McCarren Park Pool (in McCarren Park),,40.7201557,-73.9517404,True,True,https://www.google.com/maps/search/?api=1&query=McCarren+Park+Pool+%28in+McCarren+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.7201557%2C-73.9517404,pending,False,,,2203747,http://www.nycgovparks.org/events/2026/07/27/mccarren-pool-lap-swim1
578,meditation marathon peace in the park|2026-07-24,Meditation Marathon: Peace in the Park,2026-07-24T12:00 pm,Naumburg Bandshell (in Central Park),,40.772499084473,-73.971099853516,True,True,https://www.google.com/maps/search/?api=1&query=Naumburg+Bandshell+%28in+Central+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.772499084473%2C-73.971099853516,pending,False,,,2184444,http://www.nycgovparks.org/events/2026/07/24/meditation-marathon-peace-in-the-park
579,midtown dance mucho s estilo s in greeley square park|2026-07-22,Midtown Dance: Mucho(s) Estilo(s) in Greeley Square Park,2026-07-22T6:00 pm,Greeley Square Park,,40.748642685667,-73.988085303512,True,True,https://www.google.com/maps/search/?api=1&query=Greeley+Square+Park%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.748642685667%2C-73.988085303512,pending,False,,,2201512,http://www.nycgovparks.org/events/2026/07/22/midtown-dance-muchos-estilos-in-greeley-square-park
580,midtown fit|2026-07-23,Midtown Fit,2026-07-23T6:00 pm,Herald Square,,40.75046368599,-73.987603574991,True,True,https://www.google.com/maps/search/?api=1&query=Herald+Square%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.75046368599%2C-73.987603574991,pending,False,,,2201607,http://www.nycgovparks.org/events/2026/07/23/midtown-fit
581,midtown music in greeley square park|2026-07-22,Midtown Music in Greeley Square Park,2026-07-22T2:30 pm,Greeley Square Park,,40.748642685667,-73.988085303512,True,True,https://www.google.com/maps/search/?api=1&query=Greeley+Square+Park%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.748642685667%2C-73.988085303512,pending,False,,,2190769,http://www.nycgovparks.org/events/2026/07/22/midtown-music-in-greeley-square-park
582,monday morning pitch in to pick up|2026-07-20,Monday Morning Pitch In to Pick Up,2026-07-20T10:00 am,Bronx River House (in Starlight Park),,40.83279785876,-73.882915616035,True,True,https://www.google.com/maps/search/?api=1&query=Bronx+River+House+%28in+Starlight+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.83279785876%2C-73.882915616035,pending,False,,,2210381,http://www.nycgovparks.org/events/2026/07/20/monday-morning-pitch-in-to-pick-up
583,monday morning pitch in to pick up|2026-07-27,Monday Morning Pitch In to Pick Up,2026-07-27T10:00 am,Bronx River House (in Starlight Park),,40.83279785876,-73.882915616035,True,True,https://www.google.com/maps/search/?api=1&query=Bronx+River+House+%28in+Starlight+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.83279785876%2C-73.882915616035,pending,False,,,2210383,http://www.nycgovparks.org/events/2026/07/27/monday-morning-pitch-in-to-pick-up
584,morning yoga at bryant park|2026-07-21,Morning Yoga at Bryant Park,2026-07-21T10:00 am,Upper Terrace (in Bryant Park),,40.75339889526367,-73.98269653320312,True,True,https://www.google.com/maps/search/?api=1&query=Upper+Terrace+%28in+Bryant+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.75339889526367%2C-73.98269653320312,pending,False,,,2174211,http://www.nycgovparks.org/events/2026/07/21/morning-yoga-at-bryant-park
585,moves with lim n dance at bryant park|2026-07-18,Moves with Lim&#243;n Dance at Bryant Park,2026-07-18T10:00 am,Bryant Park Lawn (in Bryant Park),,40.753819792011,-73.983734458685,True,False,https://www.google.com/maps/search/?api=1&query=Bryant+Park+Lawn+%28in+Bryant+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.753819792011%2C-73.983734458685,pending,False,,,2174175,http://www.nycgovparks.org/events/2026/07/18/moves-with-limn-dance-at-bryant-park
586,moves with lim n dance at bryant park|2026-07-25,Moves with Lim&#243;n Dance at Bryant Park,2026-07-25T10:00 am,Bryant Park Lawn (in Bryant Park),,40.753819792011,-73.983734458685,True,False,https://www.google.com/maps/search/?api=1&query=Bryant+Park+Lawn+%28in+Bryant+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.753819792011%2C-73.983734458685,pending,False,,,2174176,http://www.nycgovparks.org/events/2026/07/25/moves-with-limn-dance-at-bryant-park
587,movies under the stars a minecraft movie 2025|2026-07-18,Movies Under the Stars: A Minecraft Movie (2025),2026-07-18T8:30 pm,Play Area (in Rappaport Playground),,40.63713789849,-74.001040709417,True,True,https://www.google.com/maps/search/?api=1&query=Play+Area+%28in+Rappaport+Playground%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.63713789849%2C-74.001040709417,pending,False,,,2208352,http://www.nycgovparks.org/events/2026/07/18/movies-under-the-stars-a-minecraft-movie-2025
588,movies under the stars a minecraft movie|2026-07-25,Movies Under the Stars: A MineCraft Movie,2026-07-25T8:00 pm,Raoul Wallenberg Playground (in Highbridge Park),,40.852652770531,-73.927268039881,True,True,https://www.google.com/maps/search/?api=1&query=Raoul+Wallenberg+Playground+%28in+Highbridge+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.852652770531%2C-73.927268039881,pending,False,,,2200368,http://www.nycgovparks.org/events/2026/07/25/movies-under-the-stars-a-minecraft-movie
589,movies under the stars addams family values|2026-07-23,Movies Under the Stars: Addams Family Values,2026-07-23T8:30 pm,North Plaza (in Union Square Park),,40.7365837097168,-73.98987579345703,True,True,https://www.google.com/maps/search/?api=1&query=North+Plaza+%28in+Union+Square+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.7365837097168%2C-73.98987579345703,pending,False,,,2200556,http://www.nycgovparks.org/events/2026/07/23/movies-under-the-stars-addams-family-values
590,movies under the stars cool runnings 1993|2026-07-25,Movies Under the Stars: Cool Runnings (1993),2026-07-25T8:30 pm,Play Area (in Marion Hopkinson Playground),,40.681661347364,-73.913862418565,True,False,https://www.google.com/maps/search/?api=1&query=Play+Area+%28in+Marion+Hopkinson+Playground%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.681661347364%2C-73.913862418565,pending,False,,,2210795,http://www.nycgovparks.org/events/2026/07/25/movies-under-the-stars-cool-runnings-1993
591,movies under the stars daddy daycare|2026-07-18,Movies Under the Stars: Daddy Daycare,2026-07-18T8:30 pm,Playground (in Mill Pond Park),,40.82091454717,-73.931822240353,True,True,https://www.google.com/maps/search/?api=1&query=Playground+%28in+Mill+Pond+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.82091454717%2C-73.931822240353,pending,False,,,2200460,http://www.nycgovparks.org/events/2026/07/18/movies-under-the-stars-daddy-daycare
592,movies under the stars f1|2026-07-23,Movies Under the Stars: F1,2026-07-23T8:30 pm,Entrance - Cornelia Avenue and Chester Avenue (in Wolfe's Pond Park),,40.519500732422,-74.187698364258,True,True,https://www.google.com/maps/search/?api=1&query=Entrance+-+Cornelia+Avenue+and+Chester+Avenue+%28in+Wolfe%27s+Pond+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.519500732422%2C-74.187698364258,pending,False,,,2201490,http://www.nycgovparks.org/events/2026/07/23/movies-under-the-stars-f1
593,movies under the stars five nights at freddy s 2|2026-07-21,Movies Under the Stars: Five Nights at Freddy's 2,2026-07-21T8:30 pm,Outdoors at Faber Park Recreation Center (in Faber Pool and Park),,40.640935928317,-74.135395526886,True,True,https://www.google.com/maps/search/?api=1&query=Outdoors+at+Faber+Park+Recreation+Center+%28in+Faber+Pool+and+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.640935928317%2C-74.135395526886,pending,False,,,2208628,http://www.nycgovparks.org/events/2026/07/21/movies-under-the-stars-five-nights-at-freddys-2
594,movies under the stars goat 2026|2026-07-22,Movies Under the Stars: Goat (2026),2026-07-22T8:45 pm,Entrance - Colden Street and Elder Avenue (in Kissena Corridor Park),,40.751549163227,-73.824318378732,True,False,https://www.google.com/maps/search/?api=1&query=Entrance+-+Colden+Street+and+Elder+Avenue+%28in+Kissena+Corridor+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.751549163227%2C-73.824318378732,pending,False,,,2211246,http://www.nycgovparks.org/events/2026/07/22/movies-under-the-stars-goat-2026
595,movies under the stars goat 2026|2026-07-25,Movies Under the Stars: Goat (2026),2026-07-25T8:30 pm,Far Rockaway Beach & Boardwalk (in Rockaway Beach and Boardwalk),,40.594538223746,-73.749623417854,True,False,https://www.google.com/maps/search/?api=1&query=Far+Rockaway+Beach+%26+Boardwalk+%28in+Rockaway+Beach+and+Boardwalk%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.594538223746%2C-73.749623417854,pending,False,,,2210427,http://www.nycgovparks.org/events/2026/07/25/movies-under-the-stars-goat-2026
596,movies under the stars goat|2026-07-24,Movies Under the Stars: Goat,2026-07-24T8:30 pm,Basketball Courts (in Watson Gleason Playground),,40.82796535391,-73.868800848123,True,True,https://www.google.com/maps/search/?api=1&query=Basketball+Courts+%28in+Watson+Gleason+Playground%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.82796535391%2C-73.868800848123,pending,False,,,2200842,http://www.nycgovparks.org/events/2026/07/24/movies-under-the-stars-goat
597,movies under the stars greenland|2026-07-22,Movies Under the Stars: Greenland,2026-07-22T8:30 pm,Archery Field Parking Lot (in Willowbrook Park),,40.602780425864,-74.157055020333,True,True,https://www.google.com/maps/search/?api=1&query=Archery+Field+Parking+Lot+%28in+Willowbrook+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.602780425864%2C-74.157055020333,pending,False,,,2201494,http://www.nycgovparks.org/events/2026/07/22/movies-under-the-stars-greenland
598,movies under the stars hoppers 2026|2026-07-18,Movies Under the Stars: Hoppers (2026),2026-07-18T8:30 pm,Baruch Playground,,40.71730041503906,-73.97679901123047,True,False,https://www.google.com/maps/search/?api=1&query=Baruch+Playground%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.71730041503906%2C-73.97679901123047,pending,False,,,2210649,http://www.nycgovparks.org/events/2026/07/18/movies-under-the-stars-hoppers-2026
599,movies under the stars inside out 2 2024|2026-07-24,Movies Under the Stars: Inside Out 2 (2024),2026-07-24T8:00 pm,Athletic Field (in Corlears Hook Park),,40.711436772367,-73.980041742325,True,True,https://www.google.com/maps/search/?api=1&query=Athletic+Field+%28in+Corlears+Hook+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.711436772367%2C-73.980041742325,pending,False,,,2200471,http://www.nycgovparks.org/events/2026/07/24/movies-under-the-stars-inside-out-2-2024
600,movies under the stars michael|2026-07-22,Movies Under the Stars: Michael,2026-07-22T8:30 pm,Play Area & Basketball Courts at Waring Playground (in Bronx Park),,40.860354372066,-73.871430277824,True,True,https://www.google.com/maps/search/?api=1&query=Play+Area+%26+Basketball+Courts+at+Waring+Playground+%28in+Bronx+Park%29%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.860354372066%2C-73.871430277824,pending,False,,,2203949,http://www.nycgovparks.org/events/2026/07/22/movies-under-the-stars-michael
