review_rank,overlap_key,title,start_date_time,address,boroughs,categories,parks_title_date_match,proposed_lat,proposed_lng,coord_proposal_source,coord_proposal_confidence,coord_proposal_reason,google_maps_search_url,google_maps_pin_url,manual_review_status,promotion_allowed,manual_review_notes,approval_decision_reason,source_event_id,permalink
133,claremont pool lap swim|2026-07-27,Claremont Pool: Lap Swim,2026-07-27T07:00:00.000-04:00,Main Pool in Claremont Park,['Bx'],['Parks & Recreation'],True,40.83721,-73.907983,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Main+Pool+in+Claremont+Park%2C+Bx%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.83721%2C-73.907983,pending,False,,,1058556,https://www1.nyc.gov/events/claremont-pool-lap-swim/1058556/1
134,colors from the garden natural plant dyeing|2026-07-18,Colors from the Garden: Natural Plant Dyeing,2026-07-18T14:00:00.000-04:00,Harlem Grown 134th Street Farm,['Mn'],['Parks & Recreation'],True,40.8140187,-73.9427287,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Harlem+Grown+134th+Street+Farm%2C+Mn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.8140187%2C-73.9427287,pending,False,,,1058896,https://www1.nyc.gov/events/colors-from-the-garden-natural-plant-dyeing/1058896/1
135,community paddle at concrete plant park|2026-07-18,Community Paddle at Concrete Plant Park,2026-07-18T11:00:00.000-04:00,Concrete Plant Park,['Bx'],['Parks & Recreation'],True,40.826900482177734,-73.88480377197266,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Concrete+Plant+Park%2C+Bx%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.826900482177734%2C-73.88480377197266,pending,False,,,1058956,https://www1.nyc.gov/events/community-paddle-at-concrete-plant-park/1058956/1
136,community work day|2026-07-25,Community Work Day,2026-07-25T11:00:00.000-04:00,Wyckoff Farmhouse Museum in Fidler-Wyckoff House Park,['Bk'],['Parks & Recreation'],True,40.644317626953125,-73.9207763671875,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Wyckoff+Farmhouse+Museum+in+Fidler-Wyckoff+House+Park%2C+Bk%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.644317626953125%2C-73.9207763671875,pending,False,,,1059036,https://www1.nyc.gov/events/community-work-day/1059036/1
137,cooking on the farm|2026-07-25,Cooking on the Farm,2026-07-25T13:00:00.000-04:00,Urban Farm in Randall's Island Park,['Mn'],['Parks & Recreation'],True,40.784213892023,-73.925898551941,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Urban+Farm+in+Randall%27s+Island+Park%2C+Mn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.784213892023%2C-73.925898551941,pending,False,,,1059056,https://www1.nyc.gov/events/cooking-on-the-farm/1059056/1
138,crotona pool swim team training|2026-07-16,Crotona Pool: Swim Team Training,2026-07-16T14:00:00.000-04:00,Main Pool in Crotona Park,['Bx'],['Parks & Recreation'],True,40.840685,-73.89828,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Main+Pool+in+Crotona+Park%2C+Bx%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.840685%2C-73.89828,pending,False,,,1059136,https://www1.nyc.gov/events/crotona-pool-swim-team-training/1059136/1
139,crotona pool swim team training|2026-07-21,Crotona Pool: Swim Team Training,2026-07-21T14:00:00.000-04:00,Main Pool in Crotona Park,['Bx'],['Parks & Recreation'],True,40.840685,-73.89828,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Main+Pool+in+Crotona+Park%2C+Bx%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.840685%2C-73.89828,pending,False,,,1059156,https://www1.nyc.gov/events/crotona-pool-swim-team-training/1059156/1
140,crotona pool swim team training|2026-07-23,Crotona Pool: Swim Team Training,2026-07-23T14:00:00.000-04:00,Main Pool in Crotona Park,['Bx'],['Parks & Recreation'],True,40.840685,-73.89828,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Main+Pool+in+Crotona+Park%2C+Bx%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.840685%2C-73.89828,pending,False,,,1059176,https://www1.nyc.gov/events/crotona-pool-swim-team-training/1059176/1
141,dance fitness beats|2026-07-22,Dance Fitness Beats,2026-07-22T18:00:00.000-04:00,Hudson Guild Fulton Community Center,['Other'],['Parks & Recreation'],True,40.74329634805,-74.004046916962,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Hudson+Guild+Fulton+Community+Center%2C+Other%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.74329634805%2C-74.004046916962,pending,False,,,1059536,https://www1.nyc.gov/events/dance-fitness-beats/1059536/1
142,dance fitness energize|2026-07-22,Dance Fitness Energize,2026-07-22T18:00:00.000-04:00,Brownsville Neighborhood Health Action Center,['Bk'],['Parks & Recreation'],True,40.6646618,-73.9111354,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Brownsville+Neighborhood+Health+Action+Center%2C+Bk%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.6646618%2C-73.9111354,pending,False,,,1059636,https://www1.nyc.gov/events/dance-fitness-energize/1059636/1
