overlap_key,title,date,distance_miles,recommendation,action,reason,preferred_row_if_forced_to_pick_one,alternate_row,row_a_lat,row_a_lng,row_a_display_location,row_a_borough,row_a_geocoder_source,row_a_geocoder_confidence,row_a_source_event_id,row_b_lat,row_b_lng,row_b_display_location,row_b_borough,row_b_geocoder_source,row_b_geocoder_confidence,row_b_source_event_id
nature trivia disc golfering your park|2026-07-19,Nature Trivia: Disc-golfering Your Park,2026-07-19,0.223,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.6877236,-73.8883538","40.6851386,-73.885806",40.6877236,-73.8883538,Vermont Place Parking Lot in Highland Park,Qn,nyc_parks_bigapps_events_snapshot,medium,1089796,40.6851386,-73.885806,Vermont Place Parking Lot (in Highland Park),Bk,nyc_parks_bigapps_events_snapshot,medium,2176410
nyrr open run highland park|2026-07-18,NYRR Open Run: Highland Park,2026-07-18,0.223,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.6877236,-73.8883538","40.6851386,-73.885806",40.6877236,-73.8883538,Elton Street and Jamaica Avenue in Highland Park,Qn,nyc_parks_bigapps_events_snapshot,medium,1090776,40.6851386,-73.885806,Elton Street and Jamaica Avenue (in Highland Park),Bk,nyc_parks_bigapps_events_snapshot,medium,2097674
nyrr open run highland park|2026-07-25,NYRR Open Run: Highland Park,2026-07-25,0.223,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.6877236,-73.8883538","40.6851386,-73.885806",40.6877236,-73.8883538,Elton Street and Jamaica Avenue in Highland Park,Qn,nyc_parks_bigapps_events_snapshot,medium,1090796,40.6851386,-73.885806,Elton Street and Jamaica Avenue (in Highland Park),Bk,nyc_parks_bigapps_events_snapshot,medium,2097675
rise restore circuit training|2026-07-18,Rise&Restore Circuit Training,2026-07-18,0.396,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.8420776,-73.9267904","40.8404297,-73.9340531",40.8420776,-73.9267904,Dance Room (in Highbridge Park),Bx,nyc_parks_bigapps_events_snapshot,medium,2188383,40.8404297,-73.9340531,Dance Room in Highbridge Recreation Center,Mn,nyc_parks_bigapps_events_snapshot,medium,1094516
rise restore circuit training|2026-07-25,Rise&Restore Circuit Training,2026-07-25,0.396,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.8420776,-73.9267904","40.8404297,-73.9340531",40.8420776,-73.9267904,Dance Room (in Highbridge Park),Bx,nyc_parks_bigapps_events_snapshot,medium,2188150,40.8404297,-73.9340531,Dance Room in Highbridge Recreation Center,Mn,nyc_parks_bigapps_events_snapshot,medium,1094536
soundview park microplastics workshop with new york sea grant|2026-07-18,Soundview Park Microplastics Workshop with New York Sea Grant,2026-07-18,0.361,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.8116968,-73.8664951","40.8094,-73.8603",40.8116968,-73.8664951,"Leland Avenue and O'Brien Avenue (in Soundview Park),Leland Avenue and O'Brien Avenue (in Soundview Park)",Bx,nyc_parks_facility_reference,medium,2195678,40.8094,-73.8603,Leland Avenue and O'Brien Avenue in Soundview Park,Bx,nyc_parks_facility_reference,medium,1104816
summer sport experience pickleball|2026-07-18,Summer Sport Experience: Pickleball,2026-07-18,2.226,dedupe_drop_bad_geocode,drop_one_row,Same venue text but far-apart coordinates; keep the better geocode and drop the outlier row.,"40.591982601343,-74.139472484589","40.5960754,-74.1815538",40.5960754,-74.1815538,Greenbelt Recreation Center in Greenbelt Recreation Center,SI,nyc_parks_bigapps_events_snapshot,medium,1108276,40.591982601343,-74.139472484589,Greenbelt Recreation Center (in Blood Root Valley),SI,nyc_parks_bigapps_events_snapshot,high,2181462
summer sport experience pickleball|2026-07-19,Summer Sport Experience: Pickleball,2026-07-19,2.226,dedupe_drop_bad_geocode,drop_one_row,Same venue text but far-apart coordinates; keep the better geocode and drop the outlier row.,"40.591982601343,-74.139472484589","40.5960754,-74.1815538",40.5960754,-74.1815538,Greenbelt Recreation Center in Greenbelt Recreation Center,SI,nyc_parks_bigapps_events_snapshot,medium,1108296,40.591982601343,-74.139472484589,Greenbelt Recreation Center (in Blood Root Valley),SI,nyc_parks_bigapps_events_snapshot,high,2181604
summer sport experience pickleball|2026-07-25,Summer Sport Experience: Pickleball,2026-07-25,2.226,dedupe_drop_bad_geocode,drop_one_row,Same venue text but far-apart coordinates; keep the better geocode and drop the outlier row.,"40.591982601343,-74.139472484589","40.5960754,-74.1815538",40.5960754,-74.1815538,Greenbelt Recreation Center in Greenbelt Recreation Center,SI,nyc_parks_bigapps_events_snapshot,medium,1108316,40.591982601343,-74.139472484589,Greenbelt Recreation Center (in Blood Root Valley),SI,nyc_parks_bigapps_events_snapshot,high,2181656
summer sport experience pickleball|2026-07-26,Summer Sport Experience: Pickleball,2026-07-26,2.226,dedupe_drop_bad_geocode,drop_one_row,Same venue text but far-apart coordinates; keep the better geocode and drop the outlier row.,"40.591982601343,-74.139472484589","40.5960754,-74.1815538",40.5960754,-74.1815538,Greenbelt Recreation Center in Greenbelt Recreation Center,SI,nyc_parks_bigapps_events_snapshot,medium,1108336,40.591982601343,-74.139472484589,Greenbelt Recreation Center (in Blood Root Valley),SI,nyc_parks_bigapps_events_snapshot,high,2181640
summer sports experience basketball|2026-07-18,Summer Sports Experience: Basketball,2026-07-18,2.226,dedupe_drop_bad_geocode,drop_one_row,Same venue text but far-apart coordinates; keep the better geocode and drop the outlier row.,"40.591982601343,-74.139472484589","40.5960754,-74.1815538",40.5960754,-74.1815538,Greenbelt Recreation Center in Greenbelt Recreation Center,SI,nyc_parks_bigapps_events_snapshot,medium,1108656,40.591982601343,-74.139472484589,Greenbelt Recreation Center (in Blood Root Valley),SI,nyc_parks_bigapps_events_snapshot,high,2181321
summer sports experience basketball|2026-07-19,Summer Sports Experience: Basketball,2026-07-19,2.226,dedupe_drop_bad_geocode,drop_one_row,Same venue text but far-apart coordinates; keep the better geocode and drop the outlier row.,"40.591982601343,-74.139472484589","40.5960754,-74.1815538",40.5960754,-74.1815538,Greenbelt Recreation Center in Greenbelt Recreation Center,SI,nyc_parks_bigapps_events_snapshot,medium,1108696,40.591982601343,-74.139472484589,Greenbelt Recreation Center (in Blood Root Valley),SI,nyc_parks_bigapps_events_snapshot,high,2181814
summer sports experience basketball|2026-07-25,Summer Sports Experience: Basketball,2026-07-25,2.226,dedupe_drop_bad_geocode,drop_one_row,Same venue text but far-apart coordinates; keep the better geocode and drop the outlier row.,"40.591982601343,-74.139472484589","40.5960754,-74.1815538",40.5960754,-74.1815538,Greenbelt Recreation Center in Greenbelt Recreation Center,SI,nyc_parks_bigapps_events_snapshot,medium,1108736,40.591982601343,-74.139472484589,Greenbelt Recreation Center (in Blood Root Valley),SI,nyc_parks_bigapps_events_snapshot,high,2181393
